2014-03-12	38634.83	-54.74	-0.14	38777.38	38535.87	
2014-03-13	38037.50	-597.33	-1.55	38715.05	37850.18	
2014-03-14	37950.97	-86.53	-0.23	38037.50	37751.64	
2014-03-18	38814.69	863.72	2.28	38863.04	37950.18	
2014-03-19	38811.94	-2.75	-0.01	39339.68	38653.34	
2014-03-20	39616.19	804.25	2.07	39770.65	38543.03	
2014-03-21	40021.73	405.54	1.02	40098.37	39553.44	
2014-03-24	39821.71	-200.02	-0.50	40357.00	39790.23	
2014-03-25	39793.02	-28.69	-0.07	40134.13	39614.74	
2014-03-26	39761.30	-31.72	-0.08	40081.14	39674.68	
2014-03-27	39911.01	149.71	0.38	39973.79	39703.02	
2014-03-28	40048.20	137.19	0.34	40299.35	39896.59	
2014-03-31	40461.60	413.40	1.03	40461.60	40051.12	
2014-04-01	40470.01	8.41	0.02	40781.10	40299.48	
2014-04-02	40900.53	430.52	1.06	40900.53	40478.30	
2014-04-03	40563.06	-337.47	-0.83	41087.54	40249.01	
2014-04-04	40598.34	35.28	0.09	41167.30	40542.12	
2014-04-07	40595.70	-2.64	-0.01	40875.61	40347.15	
2014-04-08	40906.83	311.13	0.77	41004.88	40541.45	
2014-04-09	40937.77	30.94	0.08	41075.42	40662.57	
2014-04-10	40447.96	-489.81	-1.20	41089.79	40381.26	
2014-04-11	40380.79	-67.17	-0.17	40455.86	40020.58	
2014-04-14	40530.69	149.90	0.37	40615.34	40349.99	
2014-04-15	40481.80	-48.89	-0.12	40571.23	40105.29	
2014-04-16	40890.53	408.73	1.01	40891.09	40481.80	
2014-04-21	40654.07	-236.46	-0.58	41003.64	40650.08	
2014-04-22	40468.20	-185.87	-0.46	40762.76	40438.80	
2014-04-23	40296.98	-171.22	-0.42	40496.23	40168.50	
2014-04-24	40407.93	110.95	0.28	40443.80	40150.40	
2014-04-25	40198.40	-209.53	-0.52	40423.96	39979.53	
2014-04-28	40136.57	-61.83	-0.15	40314.19	40038.67	
2014-04-29	40702.67	566.10	1.41	40702.76	40095.54	
2014-04-30	40711.56	8.89	0.02	40798.43	40433.66	
2014-05-02	40967.95	256.39	0.63	41053.93	40729.04	
2014-05-05	41047.88	79.93	0.20	41053.93	40736.90	
2014-05-06	41470.82	422.94	1.03	41623.69	40883.39	
2014-05-07	41803.13	332.31	0.80	41826.46	41368.67	
2014-05-08	41659.91	-143.22	-0.34	42093.91	41592.20	
2014-05-09	41641.11	-18.80	-0.05	41780.65	41528.76	
